Date,Actual,Forecast
2017-02-01,120.0,
2017-02-02,119.0,
2017-02-03,118.0,
2017-02-04,117.0,
2017-02-05,116.0,
2017-02-06,115.0,
2017-02-07,114.0,
2017-02-08,113.0,
2017-02-09,112.0,
2017-02-10,111.0,
2017-02-11,110.0,
2017-02-12,109.0,
2017-02-13,108.0,
2017-02-14,107.0,
2017-02-15,106.0,
2017-02-16,105.0,
2017-02-17,104.0,
2017-02-18,103.0,
2017-02-19,102.0,
2017-02-20,101.0,
2017-02-21,100.0,
2017-02-22,99.0,
2017-02-23,98.0,
2017-02-24,97.0,
2017-02-25,96.0,
2017-02-26,95.0,
2017-02-27,94.0,
2017-02-28,93.0,
2017-03-01,92.0,
2017-03-02,91.0,
2017-03-03,90.0,
2017-03-04,89.0,
2017-03-05,88.0,
2017-03-06,87.0,
2017-03-07,120.0,
2017-03-08,119.0,
2017-03-09,118.0,
2017-03-10,117.0,
2017-03-11,116.0,
2017-03-12,115.0,
2017-03-13,114.0,
2017-03-14,113.0,
2017-03-15,112.0,
2017-03-16,111.0,
2017-03-17,110.0,
2017-03-18,109.0,
2017-03-19,108.0,
2017-03-20,107.0,
2017-03-21,106.0,
2017-03-22,105.0,
2017-03-23,104.0,
2017-03-24,103.0,
2017-03-25,102.0,
2017-03-26,101.0,
2017-03-27,100.0,
2017-03-28,99.0,
2017-03-29,98.0,
2017-03-30,97.0,
2017-03-31,96.0,
2017-04-01,95.0,
2017-04-02,94.0,
2017-04-03,93.0,
2017-04-04,92.0,
2017-04-05,91.0,
2017-04-06,90.0,
2017-04-07,89.0,
2017-04-08,88.0,
2017-04-09,87.0,
2017-04-10,86.0,
2017-04-11,85.0,
2017-04-12,84.0,
2017-04-13,83.0,
2017-04-14,82.0,
2017-04-15,81.0,
2017-04-16,80.0,
2017-04-17,79.0,
2017-04-18,78.0,
2017-04-19,77.0,
2017-04-20,76.0,
2017-04-21,75.0,
2017-04-22,74.0,
2017-04-23,73.0,
2017-04-24,72.0,
2017-04-25,71.0,
2017-04-26,70.0,
2017-04-27,69.0,
2017-04-28,68.0,
2017-04-29,67.0,
2017-04-30,66.0,
2017-05-01,65.0,
2017-05-02,64.0,
2017-05-03,63.0,
2017-05-04,62.0,
2017-05-05,61.0,
2017-05-06,60.0,
2017-05-07,59.0,
2017-05-08,58.0,
2017-05-09,57.0,
2017-05-10,56.0,
2017-05-11,55.0,
2017-05-12,54.0,
2017-05-13,53.0,
2017-05-14,52.0,
2017-05-15,51.0,
2017-05-16,50.0,
2017-05-17,49.0,
2017-05-18,48.0,
2017-05-19,47.0,
2017-05-20,46.0,
2017-05-21,45.0,
2017-05-22,44.0,
2017-05-23,43.0,
2017-05-24,42.0,
2017-05-25,41.0,
2017-05-26,40.0,
2017-05-27,39.0,
2017-05-28,38.0,
2017-05-29,37.0,
2017-05-30,36.0,
2017-05-31,35.0,
2017-06-01,120.0,
2017-06-02,119.0,
2017-06-03,118.0,
2017-06-04,117.0,
2017-06-05,116.0,
2017-06-06,115.0,
2017-06-07,114.0,
2017-06-08,113.0,
2017-06-09,112.0,
2017-06-10,111.0,
2017-06-11,110.0,
2017-06-12,109.0,
2017-06-13,108.0,
2017-06-14,107.0,
2017-06-15,106.0,
2017-06-16,105.0,
2017-06-17,104.0,
2017-06-18,103.0,
2017-06-19,102.0,
2017-06-20,101.0,
2017-06-21,100.0,
2017-06-22,99.0,
2017-06-23,98.0,
2017-06-24,97.0,
2017-06-25,96.0,
2017-06-26,95.0,
2017-06-27,94.0,
2017-06-28,93.0,
2017-06-29,92.0,
2017-06-30,91.0,
2017-07-01,90.0,
2017-07-02,89.0,
2017-07-03,88.0,
2017-07-04,87.0,
2017-07-05,86.0,
2017-07-06,85.0,
2017-07-07,84.0,
2017-07-08,83.0,
2017-07-09,82.0,
2017-07-10,81.0,
2017-07-11,80.0,
2017-07-12,79.0,
2017-07-13,78.0,
2017-07-14,77.0,
2017-07-15,76.0,
2017-07-16,75.0,
2017-07-17,74.0,
2017-07-18,73.0,
2017-07-19,72.0,
2017-07-20,71.0,
2017-07-21,70.0,
2017-07-22,69.0,
2017-07-23,68.0,
2017-07-24,67.0,
2017-07-25,66.0,
2017-07-26,65.0,
2017-07-27,64.0,
2017-07-28,63.0,
2017-07-29,62.0,
2017-07-30,61.0,
2017-07-31,60.0,
2017-08-01,59.0,
2017-08-02,58.0,
2017-08-03,57.0,
2017-08-04,56.0,
2017-08-05,55.0,
2017-08-06,54.0,
2017-08-07,53.0,
2017-08-08,52.0,
2017-08-09,51.0,
2017-08-10,120.0,
2017-08-11,119.0,
2017-08-12,118.0,
2017-08-13,117.0,
2017-08-14,116.0,
2017-08-15,115.0,
2017-08-16,114.0,
2017-08-17,113.0,
2017-08-18,112.0,
2017-08-19,111.0,
2017-08-20,110.0,
2017-08-21,109.0,
2017-08-22,108.0,
2017-08-23,107.0,
